Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)"
2020-07-01,FB,DucVu,CVS,0,0,0,0,0,0,0,1,1,499000.0,499000,0.0,1,0.0,0.0,0.0
2020-07-01,FB,DucVu,Mess,0,0,0,0,0,0,0,3,1,499000.0,499000,0.0,0,0.0,0.0,0.0
2020-07-01,FB,DucVu,Brand,259352,61673,59968,271,0,0,0,0,0,0.0,0,0.0,0,4205.276214875229,957.0184501845018,0.0
2020-07-01,FB,NgocNgo,CVS,4541746,95958,76992,386,4,26,0,40,32,15837826.08695652,12974000,113543.65,1,47330.56128722983,11766.18134715026,174682.53846153847
2020-07-01,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-01,FB,GiangPhan,CVS,488991,4596,4389,19,1,3,0,1,1,499000.0,499000,488991.0,1,106394.908616188,25736.36842105263,162997.0
2020-07-01,FB,AnhNguyen08,CVS,3705833,65241,59328,808,11,33,0,21,13,6421913.043478261,4990000,176468.2380952381,1,56802.21026655017,4586.42698019802,112297.9696969697
2020-07-01,FB,TungTran,CVS,698471,9308,8212,32,3,2,0,2,2,1497000.0,1497000,349235.5,1,75039.85818650623,21827.21875,349235.5
2020-07-01,FB,AnhTrinh,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-01,FB,AnhNgo01,CVS,349951,3068,2606,39,0,1,0,1,1,499000.0,499000,349951.0,1,114064.8631029987,8973.102564102564,349951.0
2020-07-01,FB,YenNguyen02,CVS,0,28157,21552,155,4,12,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-01,FB,ThuHoang,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-01,FB,HuyDo,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-01,Google,TienTran,Search,203946,4658,0,136,0,0,0,0,0,0.0,0,0.0,0,43784.02747960498,1499.6029411764705,0.0
2020-07-01,Google,TienTran,Discovery,214203,11806,0,475,0,0,0,2,1,477304.347826087,0,107101.5,0,18143.571065559885,450.9536842105263,0.0
2020-07-01,Google,TienTran,PerMax,68236,4094,0,43,0,0,0,3,3,1497000.0,1497000,22745.33333333333,1,16667.318026380068,1586.8837209302326,0.0
2020-07-01,Google,TienTran,Guu-Search,22323,343,0,9,0,0,0,0,0,0.0,0,0.0,0,65081.63265306122,2480.333333333333,0.0
2020-07-01,Google,TienTran,Guu-Discovery,45845,3518,0,148,0,0,0,0,0,0.0,0,0.0,0,13031.552018192157,309.7635135135135,0.0
2020-07-01,Google,TienTran,Guu-PerMax,149172,3437,0,31,0,0,0,1,1,499000.0,499000,149172.0,1,43401.80389874891,4812.0,0.0
2020-07-02,FB,DucVu,CVS,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-02,FB,DucVu,Mess,0,0,0,0,0,0,0,3,1,499000.0,499000,0.0,0,0.0,0.0,0.0
2020-07-02,FB,DucVu,Brand,306167,73969,73074,385,0,2,1,0,0,0.0,0,0.0,0,4139.125850018251,795.2389610389611,102055.66666666669
2020-07-02,FB,NgocNgo,CVS,956342,18266,17378,84,0,0,0,6,3,1497000.0,1497000,159390.33333333334,0,52356.39986860834,11385.02380952381,0.0
2020-07-02,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-02,FB,GiangPhan,CVS,970644,23416,22285,46,0,4,0,7,7,3493000.0,3493000,138663.42857142858,1,41452.16945678169,21100.95652173913,242661.0
2020-07-02,FB,AnhNguyen08,CVS,4087718,72059,64948,955,13,59,0,21,10,4990000.0,4990000,194653.2380952381,0,56727.37617785426,4280.3329842931935,69283.35593220338
2020-07-02,FB,TungTran,CVS,850900,14588,13056,40,2,7,0,8,5,2753304.347826087,2276000,106362.5,1,58328.763367151085,21272.5,121557.14285714286
2020-07-02,FB,AnhTrinh,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-02,FB,AnhNgo01,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-02,FB,YenNguyen02,CVS,0,12436,10924,66,1,3,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-02,FB,ThuHoang,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-02,FB,HuyDo,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-02,Google,TienTran,Search,240057,4491,0,146,0,0,0,4,1,499000.0,499000,60014.25,0,53452.90581162325,1644.2260273972602,0.0
2020-07-02,Google,TienTran,Discovery,351819,15866,0,581,0,0,0,3,2,998000.0,998000,117273.0,1,22174.398083953107,605.540447504303,0.0
2020-07-02,Google,TienTran,PerMax,132394,5641,0,57,0,0,0,1,1,499000.0,499000,132394.0,1,23469.952136146072,2322.7017543859647,0.0
2020-07-02,Google,TienTran,Guu-Search,30580,359,0,19,0,0,0,1,1,499000.0,499000,30580.0,1,85181.05849582174,1609.4736842105262,0.0
2020-07-02,Google,TienTran,Guu-Discovery,96612,4814,0,177,0,0,0,0,0,0.0,0,0.0,0,20068.96551724138,545.8305084745763,0.0
2020-07-02,Google,TienTran,Guu-PerMax,157725,5054,0,53,0,0,0,0,0,0.0,0,0.0,0,31207.95409576573,2975.943396226415,0.0
2020-07-03,FB,DucVu,CVS,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-03,FB,DucVu,Mess,0,0,0,0,0,0,0,2,1,779000.0,779000,0.0,0,0.0,0.0,0.0
2020-07-03,FB,DucVu,Brand,304009,71703,70224,305,0,0,0,0,0,0.0,0,0.0,0,4239.836547982651,996.7508196721312,0.0
2020-07-03,FB,NgocNgo,CVS,3252597,0,0,0,0,0,0,44,35,18332826.086956523,14970000,73922.65909090909,1,0.0,0.0,0.0
2020-07-03,FB,NgocNgo,Brand,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-07-03,FB,GiangPhan,CVS,1742740,36682,33827,93,8,2,0,17,17,8873521.739130436,6487000,102514.11764705884,1,47509.40515784308,18739.13978494624,871370.0
2020-07-03,FB,AnhNguyen08,CVS,3212148,55649,49745,851,11,26,0,12,7,3493000.0,3493000,267679.0,1,57721.57630864885,3774.5569917743833,123544.15384615384
